SHRP_ID,STATE_CODE,IMP_DATE,IMP_TYPE
0102,1,04/17/2003,24
0102,1,04/17/2003,27
0107,1,02/07/2001,22
0502,1,12/20/1991,43
0503,1,12/20/1991,10
0503,1,12/20/1991,43
0504,1,12/20/1991,10
0504,1,12/20/1991,19
0505,1,12/20/1991,19
0506,1,12/20/1991,51
0506,1,07/15/2013,10
0506,1,07/15/2013,55
0507,1,12/20/1991,10
0507,1,12/20/1991,51
0508,1,12/20/1991,10
0508,1,12/20/1991,55
0509,1,12/20/1991,10
0509,1,12/20/1991,55
0563,1,12/20/1991,51
0563,1,05/15/1999,23
0563,1,07/15/2013,10
0563,1,07/15/2013,55
0564,1,12/20/1991,55
0601,1,06/26/1998,11
0602,1,04/12/1998,12
0602,1,04/12/1998,2
0602,1,04/12/1998,4
0602,1,06/26/1998,11
0603,1,06/26/1998,11
0603,1,06/26/1998,19
0604,1,06/26/1998,11
0604,1,06/26/1998,19
0604,1,07/01/1998,57
0605,1,04/12/1998,12
0605,1,04/12/1998,2
0605,1,04/12/1998,38
0605,1,04/12/1998,4
0605,1,04/12/1998,50
0605,1,06/26/1998,11
0606,1,04/12/1998,38
0606,1,04/12/1998,4
0606,1,04/12/1998,50
0606,1,06/26/1998,11
0606,1,06/26/1998,19
0606,1,06/15/2006,22
0607,1,04/12/1998,38
0607,1,04/12/1998,46
0607,1,06/26/1998,11
0607,1,06/26/1998,19
0607,1,05/15/2001,24
0607,1,05/15/2002,24
0607,1,05/15/2003,24
0607,1,05/15/2004,25
0608,1,04/12/1998,38
0608,1,04/12/1998,46
0608,1,06/26/1998,11
0608,1,06/26/1998,19
0661,1,04/13/1998,38
0661,1,05/04/1998,46
0661,1,06/26/1998,11
0661,1,06/26/1998,19
0661,1,05/15/2002,24
0661,1,06/17/2003,24
0662,1,04/13/1998,38
0662,1,05/04/1998,46
0662,1,06/26/1998,11
0662,1,06/26/1998,19
0663,1,04/13/1998,38
0663,1,05/04/1998,46
0663,1,06/26/1998,11
0663,1,06/26/1998,19
1001,1,06/02/1993,19
1011,1,05/15/2000,23
1019,1,06/08/1998,55
3028,1,10/28/1999,2
3028,1,10/28/1999,3
3998,1,06/15/1988,5
3998,1,08/04/1991,43
4073,1,05/15/1996,25
4084,1,06/15/1995,3
4084,1,09/15/1995,1
4127,1,06/20/1989,31
4127,1,06/23/1989,19
4129,1,06/02/1989,19
4155,1,04/01/1999,55
6012,1,07/15/1998,24
6019,1,06/15/1988,34
6019,1,01/22/1994,51
A310,1,07/16/1990,19
A310,1,09/15/1998,1
A320,1,08/07/1990,33
A320,1,09/15/1998,1
A330,1,08/07/1990,1
A330,1,09/15/1998,1
A340,1,09/15/1998,1
A350,1,08/07/1990,31
B310,1,11/16/1990,19
B310,1,05/15/1996,25
B320,1,08/21/1990,33
B320,1,05/15/1996,24
B330,1,05/15/1996,25
B350,1,08/21/1990,31
C310,1,07/16/1990,19
C320,1,08/09/1990,33
C330,1,08/09/1990,1
C330,1,05/15/1992,25
C330,1,05/15/1994,25
C330,1,05/15/1997,25
C330,1,05/15/1998,25
C330,1,05/15/2001,25
C330,1,05/15/2002,25
C350,1,08/09/1990,31
C350,1,05/15/1995,25
C350,1,05/15/1997,25
1001,2,07/01/1993,22
1001,2,06/01/1994,22
1001,2,06/25/1999,25
1001,2,07/01/1999,1
1002,2,06/20/1998,19
1004,2,06/02/1991,19
1004,2,06/01/1999,1
1008,2,06/01/2000,1
9035,2,08/01/1990,19
9035,2,07/01/1996,1
9035,2,07/01/2001,1
9035,2,06/01/2016,25
0113,4,05/01/2002,33
0114,4,05/01/2002,33
0115,4,05/01/2001,1
0115,4,04/02/2002,1
0116,4,08/07/2001,24
0116,4,05/01/2002,33
0117,4,05/01/2001,1
0117,4,04/02/2002,1
0118,4,05/04/2001,1
0118,4,05/01/2002,33
0119,4,04/03/2002,1
0120,4,05/01/2002,33
0121,4,05/01/2002,33
0122,4,02/13/2001,25
0122,4,05/01/2002,33
0123,4,05/01/2001,1
0123,4,04/02/2002,1
0124,4,05/01/2001,1
0161,4,08/07/2001,24
0161,4,05/01/2002,33
0162,4,05/01/2002,33
0163,4,02/13/2001,25
0163,4,06/01/2002,1
0213,4,08/01/2009,54
0213,4,08/01/2009,6
0213,4,06/01/2013,6
0213,4,04/01/2018,54
0213,4,04/01/2018,6
0217,4,08/01/2009,54
0217,4,08/01/2009,6
0217,4,03/01/2015,54
0217,4,02/01/2016,54
0218,4,07/01/2007,54
0218,4,07/01/2010,6
0221,4,07/01/2007,54
0221,4,08/01/2009,54
0221,4,08/01/2009,6
0221,4,08/01/2011,6
0260,4,08/01/2005,25
0260,4,08/01/2007,25
0260,4,08/01/2009,25
0260,4,08/01/2011,25
0260,4,01/01/2013,25
0260,4,03/01/2015,1
0260,4,03/01/2015,25
0260,4,02/01/2016,25
0261,4,12/15/2004,25
0261,4,08/01/2009,25
0261,4,08/01/2011,25
0261,4,01/01/2012,25
0261,4,03/01/2015,1
0261,4,03/01/2015,25
0261,4,02/01/2016,25
0262,4,08/01/2009,6
0262,4,01/01/2013,54
0263,4,01/01/2013,54
0264,4,01/01/2013,54
0267,4,11/01/2007,12
0502,4,05/08/1990,55
0502,4,05/28/1998,34
0502,4,08/23/2001,34
0502,4,05/01/2002,1
0502,4,04/16/2003,34
0503,4,05/03/1990,55
0503,4,05/28/1998,34
0503,4,05/01/2002,1
0503,4,04/16/2003,34
