STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,CN_ASSIGN_DATE,CN_CHANGE_REASON,CN_CHANGE_REASON_EXP,RECORD_STATUS,GPS_SPS,GPS_SPS_EXP,EXPERIMENT_NO,EXPERIMENT_NO_EXP,STATUS_EXP,STATUS,ASSIGN_DATE,DEASSIGN_DATE,SEAS_ID,SUPPLEMENTAL,EXP_SECT_RS,BASIC_INFO_RS,PAV_STRUCT_RS,TRAFFIC_RS,CLIMATIC_RS,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
26,Michigan,0123,1,1994-01-01,,,E,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,1994-01-01,2002-10-01,,,E,E,E,E,E,ACATB,
26,Michigan,0124,1,1994-01-01,,,E,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,1994-01-01,2002-10-01,,,E,E,E,E,E,ACATB,
26,Michigan,0159,1,1994-01-01,,,E,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,1994-01-01,2002-10-01,,S,E,E,E,E,E,ACATB,
26,Michigan,0200,1,1993-01-01,,,E,S,Specific Pavement Studies,2,"Strategic Study of Structural Factors for Rigid Pavements, new/reconstructed JPCC pavements",Out-of-study,O,1993-01-01,2013-01-01,,,E,E,,E,E,,
21,Kentucky,B310,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B310,2,1990-09-28,19,Asphalt Concrete Overlay,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B320,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B320,2,1990-08-15,33,Slurry Seal Coat,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B330,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B330,2,1990-08-15,1,Crack Sealing,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B340,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B350,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
21,Kentucky,B350,2,1990-08-15,31,Aggregate Seal Coat,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,E,E,E,ACUB,
26,Michigan,0100,1,1994-01-01,,,E,S,Specific Pavement Studies,1,"Strategic Study of Structural Factors for Flexible Pavements, new/reconstructed AC pavements",Out-of-study,O,1994-01-01,2002-10-01,,,E,E,,E,E,,
21,Kentucky,A330,2,1990-08-14,1,Crack Sealing,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A340,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1994-10-18,,,E,E,E,E,E,ACUB,
21,Kentucky,A350,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A350,2,1990-08-14,31,Aggregate Seal Coat,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A400,1,1991-01-01,,,E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,,E,E,,
21,Kentucky,A410,1,1991-01-01,,,E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A410,2,1991-10-10,"2,3","Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A410,3,1992-04-10,"2,3","Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A410,4,1993-10-26,"2,3","Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A410,5,1994-04-19,"2,3","Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A410,6,1994-10-11,"2,3","Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A410,8,1995-10-19,"2,3","Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,A430,1,1991-01-01,,,E,S,Specific Pavement Studies,4,Preventive Maintenance of Jointed Concrete Pavement,Out-of-study,O,1991-01-01,2005-12-31,,,E,E,E,E,E,JPCTB,
21,Kentucky,B300,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,2005-12-31,,,E,E,,E,E,,
21,Kentucky,6040,1,1987-01-01,,,E,G,General Pavement Studies,6A,Existing AC Overlay on AC Pavement ,Out-of-study,O,1987-01-01,1993-07-01,,,E,E,E,E,E,ACUB,
21,Kentucky,6043,1,1987-01-01,,,E,G,General Pavement Studies,6A,Existing AC Overlay on AC Pavement ,Out-of-study,O,1987-01-01,2005-07-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A300,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,,E,E,,
21,Kentucky,A310,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A310,2,1990-11-07,"1,19","Crack Sealing, Asphalt Concrete Overlay",E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A320,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A320,2,1990-08-14,33,Slurry Seal Coat,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
21,Kentucky,A330,1,1987-01-01,,,E,S,Specific Pavement Studies,3,Preventive Maintenance of AC Pavement,Out-of-study,O,1987-01-01,1998-08-01,,,E,E,E,E,E,ACUB,
19,Iowa,0602,3,1990-04-30,6,Partial Depth Patching of PCC Pavement Other Than at Joint,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,1997-07-01,,,E,E,E,E,E,JRCP,
19,Iowa,0602,4,1990-08-03,6,Partial Depth Patching of PCC Pavement Other Than at Joint,E,S,Specific Pavement Studies,6,Rehabilitation of Jointed PCC Pavement,Out-of-study,O,1987-01-01,1997-07-01,,,E,E,E,E,E,JRCP,
