,SHRP_ID,STATE_CODE,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,AADT_ALL_VEHIC,MEPDG_TRANS_CRACK_LENGTH_AC,Mean_IRI,IRI_condition,year,initial_IRI,AADT,crack,construction_time
0,0001,48,1990-03-06,0.6904000044,0.6569999932,-1.0,12.88181818181818,0.6736999988000001,2.0,1990,0.6736999988000001,,12.88181818181818,32
1,0001,48,1992-03-17,0.6893999934,0.7311999918,-1.0,12.88181818181818,0.7102999926,2.0,1992,0.6736999988000001,,12.88181818181818,30
2,0001,48,1993-07-13,0.7472000002,0.6938000086,-1.0,12.88181818181818,0.7205000044000001,2.0,1993,0.6736999988000001,,12.88181818181818,29
3,0001,48,1995-05-03,0.7092000007999999,0.7838000060000001,-1.0,12.88181818181818,0.7465000034,2.0,1995,0.6736999988000001,,12.88181818181818,27
4,0001,48,1997-08-06,0.7599999904,0.7508000016,-1.0,12.88181818181818,0.755399996,2.0,1997,0.6736999988000001,,12.88181818181818,25
5,0001,48,1998-02-23,0.7618000030000001,0.7646000028000001,-1.0,12.88181818181818,0.7632000029000001,2.0,1998,0.6736999988000001,,12.88181818181818,24
6,0001,48,1999-08-26,0.764199996,0.8345999958,-1.0,12.88181818181818,0.7993999959,2.0,1999,0.6736999988000001,,12.88181818181818,23
7,0001,48,2001-09-11,1.2845999956,0.8991999984,-1.0,12.88181818181818,1.091899997,2.0,2001,0.6736999988000001,,12.88181818181818,21
8,0001,48,2002-01-14,1.4155999898,0.967599988,-1.0,12.88181818181818,1.1915999889,2.0,2002,0.6736999988000001,,12.88181818181818,20
9,0001,48,2004-02-17,1.399399996,1.2257999898,-1.0,12.88181818181818,1.3125999929,2.0,2004,0.6736999988000001,,12.88181818181818,18
10,0001,48,2004-08-10,1.4159999846,1.3659999848,-1.0,12.88181818181818,1.3909999847,2.0,2004,0.6736999988000001,,12.88181818181818,18
11,0001,48,2007-03-16,1.8907999994,1.718599987,-1.0,12.88181818181818,1.8046999931999999,1.0,2007,0.6736999988000001,,12.88181818181818,15
55,0101,19,1993-10-15,1.0462000132,1.336800003,-1.0,87.41428571428571,1.1915000081,2.0,1993,1.1915000081,,87.41428571428571,29
66,0101,20,1994-05-13,1.0870000124,0.930800009,-1.0,-1.0,1.0089000107000001,2.0,1994,1.1915000081,,,28
12,0101,1,1995-10-30,0.6572000026,0.657400012,-1.0,23.5,0.6573000072999999,2.0,1995,1.1915000081,,23.5,27
56,0101,19,1995-02-15,1.2471999884,1.4339999914,-1.0,87.41428571428571,1.3405999898999998,2.0,1995,1.1915000081,,87.41428571428571,27
67,0101,20,1995-02-18,1.2128000024,1.2642000196,-1.0,-1.0,1.2385000110000002,2.0,1995,1.1915000081,,,27
13,0101,1,1996-01-10,0.6962000012,0.6384000062,-1.0,23.5,0.6673000037000001,2.0,1996,1.1915000081,,23.5,26
14,0101,1,1996-04-08,0.6508000016,0.7148000004,-1.0,23.5,0.6828000009999999,2.0,1996,1.1915000081,,23.5,26
15,0101,1,1996-08-12,0.6804000139999999,0.713199997,-1.0,23.5,0.6968000055,2.0,1996,1.1915000081,,23.5,26
16,0101,1,1996-10-11,0.6835999966,0.6723999974,-1.0,23.5,0.677999997,2.0,1996,1.1915000081,,23.5,26
57,0101,19,1996-04-16,1.4838000058,1.488199997,-1.0,87.41428571428571,1.4860000013999999,2.0,1996,1.1915000081,,87.41428571428571,26
68,0101,20,1996-04-23,1.5338000058,1.4912000178,-1.0,-1.0,1.5125000118,1.0,1996,1.1915000081,,,26
69,0101,32,1996-12-03,0.7536000014,0.907800007,-1.0,14.015384615384615,0.8307000042,2.0,1996,1.1915000081,,14.015384615384615,26
106,0101,39,1996-08-14,1.4636000156000002,1.3522000074,-1.0,-1.0,1.4079000115000002,2.0,1996,1.1915000081,,,26
107,0101,39,1996-12-27,3.5961999894,4.5843999862,-1.0,-1.0,4.0902999878,0.0,1996,1.1915000081,,,26
17,0101,1,1997-07-03,0.7045999884,0.6692000032000001,-1.0,23.5,0.6868999958,2.0,1997,1.1915000081,,23.5,25
18,0101,1,1997-10-15,0.6862000108,0.7184000016000001,-1.0,23.5,0.7023000062,2.0,1997,1.1915000081,,23.5,25
29,0101,10,1997-06-10,0.8083999869999999,0.8613999962,-1.0,-1.0,0.8348999916,2.0,1997,1.1915000081,,,25
30,0101,10,1997-09-29,0.8110000016000001,0.8641999958,-1.0,-1.0,0.8375999987,2.0,1997,1.1915000081,,,25
43,0101,12,1997-01-27,0.6858000040000001,0.9731999994,-1.0,27.110000000000003,0.8295000017,2.0,1997,1.1915000081,,27.110000000000003,25
58,0101,19,1997-09-25,1.5353999854000002,1.5696000099999998,-1.0,87.41428571428571,1.5524999977,1.0,1997,1.1915000081,,87.41428571428571,25
70,0101,32,1997-03-08,0.7399999978,0.8907999994000001,-1.0,14.015384615384615,0.8153999986,2.0,1997,1.1915000081,,14.015384615384615,25
71,0101,32,1997-04-22,0.7438000084,0.8977999926000001,-1.0,14.015384615384615,0.8208000005,2.0,1997,1.1915000081,,14.015384615384615,25
72,0101,32,1997-08-02,0.744599998,0.90200001,-1.0,14.015384615384615,0.823300004,2.0,1997,1.1915000081,,14.015384615384615,25
73,0101,32,1997-09-16,0.7502000096,0.8927999853999999,-1.0,14.015384615384615,0.8214999974999999,2.0,1997,1.1915000081,,14.015384615384615,25
74,0101,32,1997-11-18,0.745599997,0.9351999998,-1.0,14.015384615384615,0.8403999984,2.0,1997,1.1915000081,,14.015384615384615,25
99,0101,35,1997-03-11,0.5682000159999999,0.619200015,-1.0,2.2777777777777777,0.5937000155,2.0,1997,1.1915000081,,2.2777777777777777,25
19,0101,1,1998-01-27,0.6806000113999999,0.6784000158,-1.0,23.5,0.6795000136,2.0,1998,1.1915000081,,23.5,24
20,0101,1,1998-04-23,0.6903999926,0.6988000034,-1.0,23.5,0.6945999979999999,2.0,1998,1.1915000081,,23.5,24
21,0101,1,1998-08-05,0.7480000136,0.8725999952000001,-1.0,23.5,0.8103000044,2.0,1998,1.1915000081,,23.5,24
22,0101,1,1998-12-07,0.6879999996,0.848999989,-1.0,23.5,0.7684999942999999,2.0,1998,1.1915000081,,23.5,24
31,0101,10,1998-02-25,0.8119999886,0.840200007,-1.0,-1.0,0.8260999978,2.0,1998,1.1915000081,,,24
32,0101,10,1998-05-13,0.8185999987999999,0.863799989,-1.0,-1.0,0.8411999938999999,2.0,1998,1.1915000081,,,24
33,0101,10,1998-07-28,0.8280000091999999,0.8713999868,-1.0,-1.0,0.849699998,2.0,1998,1.1915000081,,,24
34,0101,10,1998-11-05,0.827399993,0.8519999981999999,-1.0,-1.0,0.8396999956,2.0,1998,1.1915000081,,,24
59,0101,19,1998-10-13,1.5467999934,1.7562000036,-1.0,87.41428571428571,1.6514999985,1.0,1998,1.1915000081,,87.41428571428571,24
75,0101,32,1998-08-28,0.7661999820000001,0.9136000038,-1.0,14.015384615384615,0.8398999929,2.0,1998,1.1915000081,,14.015384615384615,24
23,0101,1,1999-09-28,0.7045999884,0.7228000044,-1.0,23.5,0.7136999964,2.0,1999,1.1915000081,,23.5,23
60,0101,19,1999-07-19,1.579399991,1.876399994,-1.0,87.41428571428571,1.7278999925,1.0,1999,1.1915000081,,87.41428571428571,23
76,0101,32,1999-10-16,0.7298000098,0.904399991,-1.0,14.015384615384615,0.8171000004,2.0,1999,1.1915000081,,14.015384615384615,23
35,0101,10,2000-12-06,0.8613999964,0.8275999904000001,-1.0,-1.0,0.8444999934,2.0,2000,1.1915000081,,,22
44,0101,12,2000-09-11,0.6606000068,0.8576000095999999,-1.0,27.110000000000003,0.7591000081999999,2.0,2000,1.1915000081,,27.110000000000003,22
61,0101,19,2000-05-22,1.5983999728,1.9188000202,-1.0,87.41428571428571,1.7585999965,1.0,2000,1.1915000081,,87.41428571428571,22
77,0101,32,2000-02-03,0.7217999936,0.8952000142,-1.0,14.015384615384615,0.8085000039,2.0,2000,1.1915000081,,14.015384615384615,22
78,0101,32,2000-04-20,0.7330000042,0.8972000002,-1.0,14.015384615384615,0.8151000022,2.0,2000,1.1915000081,,14.015384615384615,22
79,0101,32,2000-06-14,0.7439999937999999,0.8824,-1.0,14.015384615384615,0.8131999968999999,2.0,2000,1.1915000081,,14.015384615384615,22
80,0101,32,2000-09-11,0.7598000052,0.8794000028,-1.0,14.015384615384615,0.819600004,2.0,2000,1.1915000081,,14.015384615384615,22
81,0101,32,2000-11-17,0.7359999894,0.8782000066,-1.0,14.015384615384615,0.807099998,2.0,2000,1.1915000081,,14.015384615384615,22
100,0101,35,2000-05-21,0.7605999828,0.658399999,-1.0,2.2777777777777777,0.7094999908999999,2.0,2000,1.1915000081,,2.2777777777777777,22
24,0101,1,2001-03-14,0.7269999979999999,0.7589999912,-1.0,23.5,0.7429999945999999,2.0,2001,1.1915000081,,23.5,21
36,0101,10,2001-07-12,0.8735999941999999,0.8629999996000001,-1.0,-1.0,0.8682999969,2.0,2001,1.1915000081,,,21
45,0101,12,2001-07-27,0.6931999922000001,0.8638000012000001,-1.0,27.110000000000003,0.7784999967000001,2.0,2001,1.1915000081,,27.110000000000003,21
62,0101,19,2001-05-29,2.0455999854,1.9079999924,-1.0,87.41428571428571,1.9767999888999999,1.0,2001,1.1915000081,,87.41428571428571,21
63,0101,19,2001-08-06,1.8645999908,1.8065999984,-1.0,87.41428571428571,1.8355999946,1.0,2001,1.1915000081,,87.41428571428571,21
82,0101,32,2001-02-26,0.7393999934,0.8787999985999999,-1.0,14.015384615384615,0.8090999959999999,2.0,2001,1.1915000081,,14.015384615384615,21
83,0101,32,2001-04-18,0.7336000084000001,0.88440001,-1.0,14.015384615384615,0.8090000092,2.0,2001,1.1915000081,,14.015384615384615,21
84,0101,32,2001-06-19,0.7453999996,0.8850000141999999,-1.0,14.015384615384615,0.8152000068999999,2.0,2001,1.1915000081,,14.015384615384615,21
85,0101,32,2001-10-23,0.7277999998,0.8796000002,-1.0,14.015384615384615,0.8037,2.0,2001,1.1915000081,,14.015384615384615,21
86,0101,32,2001-12-16,0.7336000084000001,0.8843999862,-1.0,14.015384615384615,0.8089999973,2.0,2001,1.1915000081,,14.015384615384615,21
101,0101,35,2001-05-04,0.936800003,0.7570000053999999,-1.0,2.2777777777777777,0.8469000041999999,2.0,2001,1.1915000081,,2.2777777777777777,21
25,0101,1,2002-03-10,0.6891999957999999,0.7223999978,-1.0,23.5,0.7057999967999999,2.0,2002,1.1915000081,,23.5,20
37,0101,10,2002-04-26,0.8852,0.8796000002,-1.0,-1.0,0.8824000001,2.0,2002,1.1915000081,,,20
38,0101,10,2002-12-07,0.8938000082,0.8909999968000001,-1.0,-1.0,0.8924000025000001,2.0,2002,1.1915000081,,,20
46,0101,12,2002-10-28,0.7604000092,0.880400002,-1.0,27.110000000000003,0.8204000056,2.0,2002,1.1915000081,,27.110000000000003,20
64,0101,19,2002-11-22,1.7627999782,1.905000019,-1.0,87.41428571428571,1.8338999986,1.0,2002,1.1915000081,,87.41428571428571,20
87,0101,32,2002-01-14,0.730799997,0.8907999994000001,-1.0,14.015384615384615,0.8107999982,2.0,2002,1.1915000081,,14.015384615384615,20
88,0101,32,2002-04-07,0.7315999864,0.8915999888,-1.0,14.015384615384615,0.8115999876,2.0,2002,1.1915000081,,14.015384615384615,20
89,0101,32,2002-06-10,0.725699997,0.8786999942,-1.0,14.015384615384615,0.8021999956,2.0,2002,1.1915000081,,14.015384615384615,20
90,0101,32,2002-07-31,0.7098000052,0.8802000044,-1.0,14.015384615384615,0.7950000048,2.0,2002,1.1915000081,,14.015384615384615,20
91,0101,32,2002-12-10,0.6995999932,0.8824000002,-1.0,14.015384615384615,0.7909999967,2.0,2002,1.1915000081,,14.015384615384615,20
26,0101,1,2003-01-29,0.7184000135999999,0.7448000076,-1.0,23.5,0.7316000106,2.0,2003,1.1915000081,,23.5,19
39,0101,10,2003-08-21,0.9596000076,0.9569999934,-1.0,-1.0,0.9583000005,2.0,2003,1.1915000081,,,19
47,0101,12,2003-07-25,0.8860000134,0.8692000031999999,-1.0,27.110000000000003,0.8776000083,2.0,2003,1.1915000081,,27.110000000000003,19
92,0101,32,2003-01-13,0.6889999986,0.8784000038,-1.0,14.015384615384615,0.7837000012,2.0,2003,1.1915000081,,14.015384615384615,19
